well,condition,tile,fov_token,n_p,totalVolume,n_p_totalVolume,totalArea,number_of_boundary_edges,fraction_of_boundary_edges_n_p,Mean_dgree,Std_dgree,Skewness_dgree,Kurtosis_dgree,q_25_dgree,q_50_dgree,q_75_dgree,Mean_dsc,Std_dsc,Skewness_dsc,Kurtosis_dsc,q_25_dsc,q_50_dsc,q_75_dsc,Mean_edg,Std_edg,Skewness_edg,Kurtosis_edg,q_25_edg,q_50_edg,q_75_edg,Mean_vlms,Std_vlms,Skewness_vlms,Kurtosis_vlms,q_25_vlms,q_50_vlms,q_75_vlms,Mean_fct,Std_fct,Skewness_fct,Kurtosis_fct,q_25_fct,q_50_fct,q_75_fct
B8,DMSO,1,B8_tile_1_fused_tp_0,36,149438.7917,0.0002409,15357.7002,21,0.58333,10.1111,2.214,0.21032,2.5299,9,10,12,33.2735,10.7749,0.30707,2.6597,24.0647,33.2157,40.1148,28.7413,11.3065,1.6154,6.1784,21.1601,25.4544,33.0078,1167.4906,662.1453,1.0409,4.3323,698.6777,1065.5638,1504.8656,404.15,232.2928,0.81495,2.8956,237.8628,336.7193,570.8414
B8,DMSO,2,B8_tile_2_fused_tp_0,25,89704.5422,0.00027869,10831.9455,17,0.68,9.76,2.0058,1.3799,4.9978,8,9,11,28.9764,8.5108,-0.4899,3.1605,24.6395,28.689,35.7341,28.1762,8.4901,0.65311,3.8113,21.4724,27.1506,33.7255,1080.7776,572.1625,0.79278,4.1186,757.9656,1008.2098,1380.8844,361.0649,138.1591,0.038448,2.5086,266.0082,356.493,457.4785
B8,DMSO,3,B8_tile_3_fused_tp_0,23,68471.8076,0.0003359,9100.6968,17,0.73913,9.4783,1.8554,0.10051,2.1548,8,9,11,26.8683,7.0818,-0.64414,2.321,20.5257,29.423,31.418,27.3154,8.5494,0.44552,2.7288,20.7208,25.6748,33.0343,950.9973,655.3314,1.1096,4.0301,496.9721,827.1882,1296.5498,303.3566,150.9048,0.78864,2.7777,201.4361,251.9603,420.0778
B8,DMSO,4,B8_tile_4_fused_tp_0,32,103148.7307,0.00031023,11517.061,22,0.6875,10,1.951,0.45014,1.9535,8,9,11.5,28.5405,7.5983,-1.1811,4.8881,24.6154,29.8547,34.362,26.0227,7.6069,0.52476,3.0505,20.365,25.328,30.7984,946.3186,491.9018,0.093988,2.1287,544.2329,911.3207,1339.9356,287.9265,142.4013,0.90278,3.5731,167.9428,272.4482,373.6742
B8,DMSO,5,B8_tile_5_fused_tp_0,29,125529.5251,0.00023102,15858.4555,16,0.55172,10.069,1.7099,-0.19592,2.2464,9,10,11,42.7801,17.0859,0.11822,2.4844,33.2311,40.0607,54.2327,34.8792,21.7706,1.6347,5.9602,20.9841,26.2096,45.6083,1207.0147,974.7082,1.6589,5.7889,515.5512,975.0205,1455.9737,566.3734,510.7948,1.6882,5.7365,198.1952,413.2998,713.5728
B8,DMSO,6,B8_tile_6_fused_tp_0,28,110630.9525,0.00025309,12187.1747,21,0.75,9.7857,1.9504,1.13,5.1333,8.5,10,10,29.5908,8.8186,-0.68464,2.7009,24.0994,32.6849,35.8498,28.1522,9.0246,0.087144,2.4782,22.7325,28.2503,33.2359,1215.7248,954.0014,1.5377,5.7473,561.4912,955.1184,1573.2187,320.7151,195.1151,0.9571,3.2806,174.5893,262.8979,441.3996
B8,DMSO,7,B8_tile_7_fused_tp_0,21,44272.6431,0.00047433,6771.2353,17,0.80952,9.0476,1.9869,1.1478,4.718,7,9,10,23.64,5.9014,-0.90995,3.265,21.0642,24.8911,28.4411,24.5728,6.7892,0.78382,3.2758,20.138,23.0229,28.7004,737.8774,463.0003,0.13366,2.2865,301.8489,742.5902,1039.9364,225.7078,106.983,0.66079,3.2325,148.0658,228.951,288.6096
B8,DMSO,8,B8_tile_8_fused_tp_0,14,22568.2589,0.00062034,4370.9519,13,0.92857,7.2857,1.6375,0.61446,3.0904,6,7,8,20.8601,3.7729,-0.49116,2.9562,18.5939,21.2512,23.5581,23.656,6.4417,0.32455,2.6449,18.8942,23.275,28.6421,835.8614,509.1826,0.90719,2.8577,448.5402,724.9152,1090.4779,198.6796,81.3999,0.71325,2.5312,121.1707,183.4153,257.4152
B8,DMSO,9,B8_tile_9_fused_tp_0,26,80513.8044,0.00032293,9815.0283,20,0.76923,9.1538,2.0917,1.076,3.7417,8,8.5,10,27.0294,7.3173,-1.0981,3.4293,23.9268,28.7981,32.3426,26.0383,6.734,0.50143,2.4752,20.1139,25.6018,30.3607,1059.3922,498.9478,-0.18712,2.5476,726.1628,1061.69,1418.6211,272.6397,122.1256,0.58305,2.3541,181.5729,240.3247,354.4077
C5,100 nm TPA +ve control,0,C5_tile_0_fused_tp_0,131,783164.8919,0.00016727,43237.4889,48,0.36641,12.7328,2.6481,0.91404,6.7524,11,13,14,50.0952,12.8299,-0.62765,2.7879,41.5672,51.8594,59.6967,28.3386,10.5052,1.2385,5.9033,20.9651,27.0804,33.8266,1190.2202,917.3966,3.0849,21.8103,622.9773,1001.6753,1526.5815,469.9727,340.2603,1.7331,6.5449,252.2258,375.5362,588.4825
C5,100 nm TPA +ve control,1,C5_tile_1_fused_tp_0,35,100434.5693,0.00034849,11548.8369,24,0.68571,9.9429,2.6783,1.4132,5.3825,8,9,11,28.2161,8.5032,-0.021588,4.4726,24.6565,29.4662,32.0482,25.3091,9.4928,2.1325,10.193,19.4309,23.9231,27.0732,851.1404,450.2156,0.78885,5.4629,535.6131,832.8239,1143.3845,262.4736,198.4345,2.7962,11.1747,159.6279,211.066,268.0792
C5,100 nm TPA +ve control,2,C5_tile_2_fused_tp_0,37,163185.7434,0.00022674,15546.0515,23,0.62162,10,2.0817,0.14985,2.609,9,10,11,32.2768,8.9421,-0.44306,3.4348,26.1399,33.8583,38.5289,27.5568,8.5808,1.0536,5.0782,21.464,26.4688,32.2376,1274.8886,701.3686,1.174,5.4048,829.4198,1150.7463,1678.2055,370.1441,186.3111,1.3837,4.9971,251.1457,316.6458,450.6275
C5,100 nm TPA +ve control,3,C5_tile_3_fused_tp_0,42,234804.3904,0.00017887,20180.7268,21,0.5,10.8571,2.5716,0.86559,4.1358,9,11,12,34.7834,11.3014,-0.18762,1.8657,25.1681,35.3353,44.963,29.4776,10.4248,0.35453,3.0228,22.3614,29.0274,36.0366,1397.6452,995.262,1.398,5.6573,678.7648,1208.3478,1864.0064,531.0718,223.5306,-0.20448,1.9857,356.5421,542.8729,717.7731
C5,100 nm TPA +ve control,4,C5_tile_4_fused_tp_0,32,84448.7821,0.00037893,9981.8184,23,0.71875,10,2.423,1.0368,3.8507,8,10,11,27.1632,6.5724,-0.86913,2.9689,24.1242,29.3003,31.3813,24.1852,7.1578,0.15856,2.8035,19.402,23.8325,27.9348,781.9332,488.3736,0.32094,2.3576,346.385,823.2613,1076.6076,237.6623,105.4042,0.53688,2.836,153.426,233.4491,297.1129
C5,100 nm TPA +ve control,5,C5_tile_5_fused_tp_0,34,110670.3965,0.00030722,11873.3315,25,0.73529,9.8824,2.2531,0.63243,2.6757,8,9,11,29.006,7.3311,-1.4495,4.6637,26.5584,31.3158,34.4477,25.5357,6.7576,0.57657,3.7257,20.6837,25.2537,29.3554,988.1285,500.0134,0.079895,2.595,620.48,1019.4117,1313.3892,258.1159,115.685,1.1984,4.174,185.8019,224.5944,325.98
C5,100 nm TPA +ve control,6,C5_tile_6_fused_tp_0,53,165591.7395,0.00032006,15774.3603,27,0.50943,11.3208,2.0734,0.17891,2.8986,10,11,13,30.891,9.5564,-0.023252,3.7591,25.6745,33.1422,36.4397,24.4801,8.7621,1.8794,8.1957,18.546,23.1414,27.4901,742.5639,361.6093,0.24778,2.7154,518.9336,738.2923,990.5311,315.4872,174.7973,2.0351,8.9745,211.6823,274.2668,361.3706
C5,100 nm TPA +ve control,7,C5_tile_7_fused_tp_0,32,98455.2061,0.00032502,11008.171,23,0.71875,9.875,1.8965,0.78736,3.2212,8.5,10,10,27.6158,7.7135,-1.1638,3.604,23.6467,30.6994,32.7362,24.9786,6.271,0.18892,2.8157,20.183,25.2474,28.6278,928.8227,496.7755,0.25058,2.5836,523.9493,923.6791,1258.7701,262.0993,86.0842,0.1626,3.3645,218.025,253.7475,307.0625
C5,100 nm TPA +ve control,8,C5_tile_8_fused_tp_0,31,53795.849,0.00057625,7576.8897,22,0.70968,9.871,1.9104,0.50764,2.6611,8.25,10,10.75,23.7447,6.4394,-0.75133,2.731,19.6098,26.0196,27.6572,21.5288,6.6431,0.62128,4.0967,17.6228,21.1723,25.1385,522.2898,354.9027,0.47192,2.4884,225.5908,469.7647,795.7136,189.4222,109.734,1.2048,5.0202,106.2798,173.6288,254.0889
C5,100 nm TPA +ve control,9,C5_tile_9_fused_tp_0,32,65181.8106,0.00049093,8444.0689,26,0.8125,9.375,2.5241,1.5125,5.8588,8,9,10,25.4122,6.2436,-1.2731,4.24,22.896,26.9706,29.0439,22.1212,6.1588,0.97436,5.1498,18.3496,21.1302,25.4992,686.1243,389.1188,0.043905,2.3074,406.0535,708.9616,957.5767,175.9181,78.4736,0.37735,2.75,127.0662,178.599,210.3681
C6,100 nm TPA +ve control,0,C6_tile_0_fused_tp_0,38,230458.991,0.00016489,20464.0004,22,0.57895,10.8947,2.1282,0.51423,2.8809,9,11,13,37.1626,10.795,0.023216,2.7168,30.0883,36.7247,44.88,32.6884,12.4742,1.5535,7.3298,24.2499,31.2424,38.4175,1536.3933,914.798,0.52114,2.7919,774.7345,1507.8909,2183.8557,511.6,302.3508,1.1263,3.5173,282.129,413.7065,649.3948
C6,100 nm TPA +ve control,1,C6_tile_1_fused_tp_0,14,35502.3545,0.00039434,6128.2241,13,0.92857,7.5714,1.5549,1.646,5.7795,7,7,8,23.9338,7.7397,-0.73154,4.2028,20.3615,24.5184,26.3218,28.1069,8.0895,0.20239,3.2449,22.2503,29.3977,33.2496,1224.2191,703.6064,-0.035061,1.9012,660.7994,1228.7452,1764.0818,278.5556,113.2682,0.68032,3.7746,213.5806,289.5189,321.2557
C6,100 nm TPA +ve control,2,C6_tile_2_fused_tp_0,30,69988.7254,0.00042864,8681.8874,26,0.86667,9.0667,3.2263,2.6835,9.9849,7,8,9,26.4124,5.1227,-1.755,6.4297,24.9339,27.7896,29.0805,23.1705,6.0583,0.2466,2.9301,18.7526,22.3617,27.4084,843.2377,493.5468,0.20071,2.4518,432.1645,856.626,1200.7325,180.8727,63.7812,0.015894,3.1331,148.8645,182.9574,222.98
C6,100 nm TPA +ve control,3,C6_tile_3_fused_tp_0,26,68893.5608,0.00037739,8820.6227,22,0.84615,9.3077,2.2049,0.78795,3.7031,8,9,10,26.0621,6.636,-1.7416,5.8545,24.1851,27.9864,30.7217,24.8372,6.0082,0.37531,3.1501,19.9239,25.1256,28.6639,906.4942,472.5803,0.45875,3.9173,624.0074,895.1753,1174.0108,220.5156,78.3109,0.50184,2.8267,170.1941,201.5641,264.6472
C6,100 nm TPA +ve control,4,C6_tile_4_fused_tp_0,52,206628.1081,0.00025166,18337.5158,24,0.46154,11.4615,2.2792,0.38141,3.4808,10,11,13,33.7728,9.2696,-0.46111,2.5236,27.7634,36.061,40.4152,26.7954,10.6307,0.68887,3.5237,19.4821,25.3477,32.5685,918.3471,667.7656,1.0907,3.9135,392.1243,768.8704,1291.7132,416.7617,257.4796,0.85502,3.3,195.5386,388.0591,547.8898
C6,100 nm TPA +ve control,5,C6_tile_5_fused_tp_0,42,137552.9694,0.00030534,13834.1121,28,0.66667,10.5714,2.0499,1.0226,4.2965,10,10,11,31.4486,8.1611,-1.0343,3.8883,28.06,32.5913,37.7711,25.0683,6.4695,0.5557,3.5057,20.652,23.9608,28.9226,887.4385,497.1742,0.36603,2.9438,480.2104,914.7435,1170.0474,266.0406,94.5243,0.58373,2.9021,198.7187,250.858,321.681
C6,100 nm TPA +ve control,6,C6_tile_6_fused_tp_0,32,93954.8977,0.00034059,10905.0263,21,0.65625,10.1875,1.7494,0.59023,2.7432,9,10,11,28.0663,7.4037,-0.6544,2.7138,22.8228,29.1603,33.354,25.2546,7.2859,1.0422,4.2901,20.153,24.308,28.6438,831.4593,462.8774,0.11372,2.1861,430.6608,862.3483,1164.6838,286.9744,120.0435,0.18793,3.1526,206.1705,273.9998,355.4278
C6,100 nm TPA +ve control,7,C6_tile_7_fused_tp_0,32,86504.5044,0.00036992,10292.0323,21,0.65625,10.3125,2.1317,0.41597,3.0821,9,10,11,27.3194,8.0387,-0.83002,3.3751,24.848,29.1161,31.3924,25.0309,8.0418,0.6249,4.4656,19.3639,24.3978,29.5086,752.2131,509.3924,0.69997,3.0665,341.8717,685.6448,1072.5076,270.843,127.4111,0.45262,2.2767,183.0536,241.0341,388.0357
C6,100 nm TPA +ve control,8,C6_tile_8_fused_tp_0,29,71728.4549,0.0004043,9033.8488,23,0.7931,9.5172,2.4145,1.001,3.7663,8,9,10,25.7475,7.0453,-0.9768,3.1105,22.8533,27.7359,30.6704,23.7435,6.3039,0.44396,3.4382,18.9069,23.4275,27.2267,805.9377,455.4561,0.44537,2.7664,475.0452,776.2401,1038.453,215.0916,98.2136,0.85044,4.0934,157.3892,202.0858,258.1237
C6,100 nm TPA +ve control,9,C6_tile_9_fused_tp_0,45,180513.688,0.00024929,18750.4698,19,0.42222,11.2444,2.542,0.5791,3.3916,9,11,13,37.0425,16.3984,0.63593,2.6828,25.0737,34.3592,48.537,29.8401,16.445,1.7057,6.7267,19.9364,26.1892,34.8593,940.1755,718.5746,1.2387,5.2092,404.8851,795.5133,1388.2347,551.4844,395.7852,0.9232,2.9876,264.1871,403.4776,753.8586
